Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.21		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		AI8		AI7		Pm		P1		Off		Off		
(ms)		(V)		(A)		(r/min)		(N·m)		(W)		(W)		()		()		
41.797		282.2		-0.831		-2.2		0.0040		235.2		-234.6						
41.895		292.2		-0.775		-2.2		0.0070		235.5		-226.4						
41.992		302.2		-0.710		0.4		0.0055		236.1		-214.5						
42.090		310.0		-0.666		-2.2		0.0009		234.9		-206.3						
42.188		317.8		-0.611		-4.7		0.0055		234.7		-194.2						
42.285		329.1		-0.561		-2.2		0.0040		235.2		-184.5						
42.383		341.3		-0.508		-13.7		0.0055		232.2		-173.4						
42.480		345.2		-0.449		-2.2		0.0055		235.4		-155.1						
42.578		354.3		-0.391		-2.2		0.0070		235.5		-138.4						
42.676		367.0		-0.342		-2.2		0.0086		235.6		-125.6						
42.773		377.0		-0.277		-0.9		0.0086		236.0		-104.5						
42.871		383.0		-0.218		-2.2		0.0055		235.4		-83.6						
42.969		391.7		-0.172		-3.5		0.0086		235.3		-67.4						
43.066		404.8		-0.105		-0.9		0.0101		236.1		-42.5						
43.164		410.0		-0.050		-0.9		0.0055		235.7		-20.7						
43.262		421.3		-0.002		-0.9		0.0040		235.6		-0.9						
43.359		432.6		0.061		-0.9		0.0024		235.4		26.3						
43.457		437.0		0.120		-2.2		0.0086		235.6		52.3						
43.555		448.7		0.176		-3.5		0.0070		235.2		79.1						
43.652		453.0		0.229		-2.2		0.0086		235.6		103.7						
43.750		461.7		0.290		-2.2		0.0055		235.4		133.8						
43.848		469.1		0.342		-3.5		0.0070		235.2		160.6						
43.945		473.5		0.388		-2.2		0.0101		235.8		183.9						
44.043		485.2		0.468		-2.2		0.0086		235.6		227.2						
44.141		491.3		0.519		-2.2		0.0040		235.2		254.8						
44.238		493.9		0.588		-7.3		0.0070		234.1		290.4						
44.336		495.7		0.619		-2.2		0.0055		235.4		307.0						
44.434		493.5		0.678		-14.9		0.0086		232.2		334.7						
44.531		493.5		0.745		-2.2		0.0070		235.5		367.8						
44.629		494.3		0.771		-2.2		0.0116		235.9		380.9						
44.727		497.0		0.825		-0.9		0.0116		236.3		410.1						
44.824		496.5		0.869		-0.9		0.0086		236.0		431.6						
44.922		495.2		0.913		-2.2		0.0070		235.5		452.3						
45.020		495.7		0.960		-2.2		0.0086		235.6		475.6						
45.117		490.4		0.999		1.7		0.0132		237.1		490.2						
45.215		492.6		1.048		0.4		0.0086		236.3		516.1						
45.313		489.1		1.090		-0.9		-0.0006		235.2		533.0						
45.410		482.2		1.130		-2.2		0.0040		235.2		544.7						
45.508		479.6		1.184		-3.5		0.0086		235.3		567.9						
45.605		476.1		1.237		-2.2		0.0086		235.6		588.8						
45.703		470.4		1.264		-2.2		0.0086		235.6		594.6						
45.801		463.0		1.300		-2.2		0.0055		235.4		601.8						
45.898		459.1		1.350		-3.5		0.0055		235.0		619.9						
45.996		447.0		1.377		-2.2		0.0101		235.8		615.7						
46.094		447.8		1.413		0.4		0.0086		236.3		632.8						
