Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.21		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		AI8		AI7		Pm		P1		Off		Off		
(ms)		(V)		(A)		(r/min)		(N·m)		(W)		(W)		()		()		
13.184		-226.5		0.206		2.4		0.0039		53.6		-46.6						
13.281		-229.6		0.160		3.7		0.0039		53.7		-36.6						
13.379		-236.1		0.115		3.7		0.0055		53.8		-27.3						
13.477		-244.3		0.088		2.4		0.0024		53.5		-21.5						
13.574		-247.0		0.057		2.4		0.0039		53.6		-14.0						
13.672		-247.8		0.013		4.9		0.0085		54.1		-3.1						
13.770		-254.8		-0.025		6.2		0.0009		53.7		6.4						
13.867		-259.6		-0.069		3.7		-0.0099		52.7		18.0						
13.965		-266.1		-0.092		1.1		0.0009		53.3		24.6						
14.063		-268.3		-0.143		1.1		0.0009		53.3		38.3						
14.160		-269.1		-0.164		2.4		0.0009		53.4		44.1						
14.258		-270.4		-0.214		2.4		0.0024		53.5		57.9						
14.355		-271.7		-0.233		2.4		-0.0007		53.3		63.3						
14.453		-273.9		-0.275		1.1		-0.0007		53.2		75.3						
14.551		-272.2		-0.315		2.4		0.0024		53.5		85.7						
14.648		-268.3		-0.349		4.9		0.0024		53.7		93.5						
14.746		-270.9		-0.367		3.7		-0.0007		53.4		99.5						
14.844		-270.4		-0.382		-1.4		-0.0022		52.8		103.3						
14.941		-271.7		-0.428		1.1		0.0009		53.3		116.4						
15.039		-271.7		-0.460		10.0		0.0009		54.0		125.0						
15.137		-270.4		-0.487		1.1		-0.0022		53.1		131.7						
15.234		-269.1		-0.517		-0.2		-0.0007		53.1		139.0						
15.332		-265.2		-0.548		2.4		0.0024		53.5		145.3						
15.430		-266.5		-0.577		2.4		-0.0007		53.3		153.9						
15.527		-261.7		-0.584		2.4		-0.0007		53.3		152.8						
15.625		-261.7		-0.622		1.1		0.0009		53.3		162.7						
15.723		-258.7		-0.640		3.7		0.0024		53.6		165.7						
15.820		-256.1		-0.661		3.7		-0.0022		53.3		169.4						
15.918		-248.7		-0.708		2.4		-0.0068		52.8		176.0						
16.016		-245.7		-0.714		2.4		-0.0007		53.3		175.4						
16.113		-242.6		-0.745		2.4		0.0009		53.4		180.8						
16.211		-240.9		-0.760		1.1		0.0009		53.3		183.1						
16.309		-235.2		-0.779		2.4		0.0009		53.4		183.2						
16.406		-230.0		-0.813		2.4		-0.0007		53.3		186.9						
16.504		-226.1		-0.825		2.4		-0.0007		53.3		186.6						
16.602		-222.2		-0.842		2.4		0.0024		53.5		187.1						
16.699		-217.0		-0.869		4.9		0.0039		53.8		188.6						
16.797		-213.0		-0.876		4.9		-0.0007		53.5		186.5						
