Time,E1,I1,E2,I2,E3,I3,AI8,Pm,Torque,Category
196.29,-356.1,-1.84,-537.7,1.08,186.1,0.58,1020.9,322.5,3,Over Current
197.27,-218.7,-1.95,-535.9,0.6,317.4,1.01,1020.9,322.5,3,Over Current
198.24,-67.4,-1.58,-489,0.2,428.7,1.56,1018.4,321.4,3,Over Current
199.22,113,-1.23,-402.6,-0.31,513.5,1.82,1022.2,322.6,3,Over Current
200.2,269.6,-0.86,-268.4,-0.82,540,1.83,1020.9,322.4,3,Over Current
201.17,381.7,-0.49,-128.1,-1.45,513,1.56,1019.7,322.3,3,Over Current
202.15,482.2,0.01,46.9,-1.8,437.4,1.21,1023.5,323.5,3,Over Current
203.13,544.3,0.58,215.9,-1.93,331.7,0.91,1018.4,321.6,3,Over Current
204.1,527.4,1.13,340.9,-1.79,185.7,0.53,1022.2,322.8,3,Over Current
205.08,467.8,1.62,446.5,-1.45,29.1,0.07,1017.1,319.9,3,Over Current
206.06,378.7,1.84,529.4,-1.14,-148.3,-0.47,1020.9,322.2,3,Over Current
207.03,250.9,1.98,546.4,-0.7,-293,-0.9,1018.4,321.1,3,Over Current
208.01,103,1.64,508.6,-0.35,-398.3,-1.51,1019.7,322.5,3,Over Current
208.98,-63.5,1.34,419.1,0.2,-485.2,-1.75,1018.4,321.6,3,Over Current
209.96,-243,0.97,296.2,0.73,-534.8,-1.85,1017.1,321.5,3,Over Current
210.94,-361.3,0.57,160.3,1.3,-510.4,-1.65,1018.4,321.6,3,Over Current
211.91,-459.6,0.1,-10.9,1.75,-445.2,-1.29,1017.1,321.2,3,Over Current
212.89,-539.6,-0.42,-185.9,1.93,-351.3,-0.96,1015.8,320.8,3,Over Current
213.87,-533.5,-1.04,-317.5,1.81,-211.3,-0.64,1017.1,321.2,3,Over Current
214.84,-487.8,-1.55,-420.8,1.54,-59.1,-0.2,1015.8,320.8,3,Over Current
215.82,-398.7,-1.82,-516.4,1.23,115.7,0.35,1015.8,321.3,3,Over Current
216.8,-285.7,-2,-552,0.82,270,0.78,1013.3,320.1,3,Over Current
217.77,-129.6,-1.72,-512.1,0.42,383.5,1.4,1014.5,320.5,3,Over Current
